Query,Clicks,Impressions,CTR,Position
living room decorative accessories,1,47,2.13%,5.34
john lewis iphone 10,1,45,2.22%,1.02
john lewis iphones,1,44,2.27%,1.02
child's sewing box uk,1,41,2.44%,6.71
john lewis apple phone,1,40,2.5%,1
leather document bag,1,39,2.56%,3
pacapod picos,1,38,2.63%,9.45
jeff banks tree skirt,1,37,2.7%,2.92
tom ford grey vetiver 100ml,1,33,3.03%,16.33
john lewis clearance 2020,1,32,3.12%,3.78
womens barbour gloves,1,32,3.12%,5.91
barbour ladies gloves,1,32,3.12%,6.5
john lewis curtain making,1,31,3.23%,3.45
good quality mugs uk,1,29,3.45%,2.1
john lewis gifts for teenage boys,1,28,3.57%,3.5
lounge ceiling lighting,1,26,3.85%,2.31
matching makeup and toiletry bags,1,26,3.85%,2.35
where to get curtains made,1,26,3.85%,4.92
mens briefcase bag leather,1,24,4.17%,1.75
barbour womens gloves,1,23,4.35%,5.7
new cushions,1,20,5%,2.45
debenhams sale mirrors,1,20,5%,6.3
ceiling lights for sitting room,1,19,5.26%,4.89
make up bag sale uk,1,18,5.56%,6.78
barbour poncho,1,16,6.25%,8.12
feather cushion pads john lewis,1,15,6.67%,7.93
extra long oven mitts,1,14,7.14%,10.07
john lewis pure poison,1,13,7.69%,3.23
mens briefcase clearance,1,11,9.09%,4.55
levi 527,1,11,9.09%,32.82
john lewis sal,1,10,10%,1.7
men's business bags leather,1,10,10%,3.9
fireman sam outfit john lewis,1,10,10%,6
john lewis ssle,1,9,11.11%,1.67
boden astronaut hoodie,1,9,11.11%,3.67
curtains 245 drop,1,8,12.5%,6.12
central ceiling lights for living room,1,7,14.29%,5.86
smeg mixer john lewis,1,7,14.29%,6.14
barbour gloves women,1,6,16.67%,5.17
playstation 4 click and collect,1,6,16.67%,21.33
table cloxk,1,5,20%,1.4
scarf coat,1,5,20%,3.8
d57ml67n0b,1,5,20%,5
john lewis scooter helmet,1,5,20%,10.4
john lewis electronics,1,4,25%,1
john lewsis sale,1,4,25%,1.75
kiehls smoothing oil-infused leave-in concentrate,1,4,25%,7.5
smoothing oil-infused leave-in concentrate,1,3,33.33%,7.67
john lewis 7ft slim christmas tree,1,2,50%,2.5
whittard christmas coffee,1,2,50%,8
john lewis pantone mugs,1,1,100%,4
womens barbour mittens,1,1,100%,10
john lewis poison perfume,1,1,100%,13
clocks,0,24701,0%,3.01
makeup bags,0,10704,0%,3
cosmetic bag,0,10681,0%,2.81
oven glove,0,8567,0%,4.52
large makeup bag,0,7152,0%,5.5
cushions for sofa,0,6995,0%,10.68
teal cushions,0,6248,0%,9.66
boys shirts,0,4919,0%,9.93
messenger bag for men,0,4431,0%,2.34
messenger bags,0,4333,0%,6.13
vanity bag,0,3964,0%,4.7
travel bags for men,0,3964,0%,7.63
bespoke curtains,0,3874,0%,4.68
large mugs uk,0,3864,0%,10.08
big mugs,0,3832,0%,8.4
decorative accessories,0,3768,0%,2.87
set of mugs,0,3705,0%,2.6
outdoor coffee table,0,3686,0%,6.37
toiletry bag for women,0,3635,0%,6.68
small makeup bag,0,3592,0%,3.63
designer makeup bags,0,3556,0%,5.67
travel makeup bag,0,3408,0%,8.64
toiletries bag,0,3404,0%,5.1
cosmetic case,0,3334,0%,7.06
wash bags,0,3318,0%,2.43
small clock,0,3304,0%,6.76
leather laptop bags for men,0,2901,0%,1.58
large wash bag,0,2871,0%,1.7
wine fridge cabinet,0,2866,0%,5.04
double oven gloves,0,2858,0%,2.28
mugs set,0,2832,0%,2.52
debenhams mirrors,0,2796,0%,4.1
