Query,Clicks,Impressions,CTR,Position
ceiling lighting ideas,0,282,0%,4.85
leather messenger bag men,0,281,0%,1.99
men's leather briefcase,0,281,0%,2.55
john lewis briefcase,0,279,0%,2.25
best place to buy curtains uk,0,278,0%,7.04
designer laptop bags for men,0,278,0%,7.28
clock for desk,0,278,0%,9.5
wicker sewing basket,0,277,0%,6.16
heavy ready made lined curtains,0,277,0%,6.97
leather side bags for mens,0,276,0%,6.91
outdoor garden side table,0,276,0%,7.77
nice mugs for her,0,275,0%,5.57
grey make up bag,0,275,0%,9.06
side bags for men,0,275,0%,10.61
john lewis mens clothes,0,273,0%,2.78
mini slow cooker,0,273,0%,8.18
wine storage cabinet,0,273,0%,10.63
posh cushions,0,272,0%,3.57
hand made curtains,0,272,0%,6.96
sewing basket kit,0,270,0%,5.25
large tea mugs uk,0,270,0%,10.64
men satchel bag,0,269,0%,3.01
curtains for living room john lewis,0,269,0%,3.29
childrens shirts,0,269,0%,5.36
nice oven gloves,0,268,0%,2.34
make.up bags,0,268,0%,2.66
work bags men,0,268,0%,3.56
men leather backpack,0,267,0%,2.56
womens wash bag uk,0,266,0%,7.57
computer bag for men,0,265,0%,7.97
john lewis curtians,0,264,0%,3.08
work briefcase,0,264,0%,4.84
leather briefcase bag,0,263,0%,1.73
3m drop curtains,0,262,0%,9
messenger bags men,0,261,0%,3.53
blue makeup bag,0,261,0%,4.93
wash bag with compartments,0,261,0%,5.02
touch lamps,0,261,0%,5.9
make ip bag,0,260,0%,4.19
nice mugs uk,0,260,0%,4.63
maternity thermals,0,260,0%,7.2
luxury make up bags,0,259,0%,3.64
laptop bags leather,0,259,0%,3.83
expensive mugs,0,259,0%,4.42
womens vanity case,0,259,0%,4.75
big cosmetic bag,0,258,0%,6.24
mens laptop bag,0,257,0%,1.57
messenger bags men's,0,256,0%,2.75
sewing boxes uk,0,256,0%,3.99
experience gift voucher,0,256,0%,4.85
cylinder hoovers,0,256,0%,5.07
men's messenger bags uk,0,256,0%,7.39
large tea mugs,0,255,0%,10.44
briefcase bag mens,0,253,0%,2.22
mens office bags,0,253,0%,2.65
little clock,0,253,0%,5.57
small wine fridge,0,253,0%,11.25
modern sewing box,0,252,0%,3.2
john lewis experiences,0,251,0%,2.01
extra large sewing box,0,251,0%,8.55
john lewis. curtains,0,250,0%,3.1
office bags for mens,0,250,0%,3.34
pink make up bag,0,250,0%,9.4
designer makeup bags sale,0,250,0%,9.47
knitting basket uk,0,250,0%,9.72
mens small bags,0,249,0%,6.67
kitchen aid oven gloves,0,249,0%,7.37
mens leather cross body bags,0,248,0%,3.65
mens leather cross body bags uk,0,248,0%,8.91
tall wine fridge,0,248,0%,11.19
makeup bag case,0,247,0%,4.43
small bags for men,0,247,0%,8.77
sewing storage bag,0,246,0%,4.32
biba make up bag,0,246,0%,8.2
shoulder bags men,0,245,0%,4.84
organic maternity clothes,0,245,0%,9.32
decorative items,0,244,0%,1.33
alarm clocks john lewis,0,244,0%,2.46
wine cooler john lewis,0,243,0%,1
travel bags men,0,243,0%,6.14
wire shoe rack,0,243,0%,10.37
gift experience voucher,0,242,0%,5.68
dark green oven gloves,0,242,0%,6.45
metal shoe rack,0,242,0%,10.5
tan leather briefcase,0,240,0%,2.3
john lewis curtsins,0,239,0%,3.13
makeup bag uk,0,239,0%,4
storage for sewing supplies,0,239,0%,8.63
leather messenger mens bags,0,238,0%,1.3
touch bedside lamps,0,238,0%,7.74
500ml mugs uk,0,238,0%,8.45
makeup travel bag,0,238,0%,10.15
satchel bags for men,0,237,0%,4.78
satin cushions,0,237,0%,7.88
iphone 8 plus john lewis,0,237,0%,8.08
lounge accessories,0,237,0%,9.35
wine fridge uk,0,237,0%,10.52
mens messenger bag,0,236,0%,2.57
leather briefcase men,0,235,0%,2.52
best mugs for tea,0,235,0%,7.13
travel cosmetic bags,0,235,0%,9.08
cheap oven gloves,0,234,0%,10.6
heavy curtains,0,234,0%,10.75
tall coffee mugs,0,232,0%,10.63
mens leather messenger bags,0,231,0%,2.22
womens wash bags,0,231,0%,2.59
side bags mens,0,231,0%,8.93
men's messenger bags,0,230,0%,2.59
bed side clock,0,230,0%,7.99
sewing boxes dunelm,0,230,0%,9.47
integrated wine fridge,0,230,0%,9.83
boys smart shirts,0,229,0%,10.08
laptop leather bag for men,0,228,0%,1.37
satchel bag men,0,227,0%,4.94
hall ceiling lights,0,226,0%,9.13
thick lined curtains,0,226,0%,11.01
laptop bags leather men,0,225,0%,1.77
medium makeup bag,0,225,0%,4.25
women wash bag,0,225,0%,5.95
silicone oven gloves,0,225,0%,8.69
large washbag,0,224,0%,2.69
john lewis girls' dresses,0,224,0%,2.82
oven gloves double,0,224,0%,3.09
makeup cosmetic bag,0,224,0%,4.12
satchel men,0,224,0%,5.81
oven gloves for men,0,224,0%,9.21
john lewis clothes sale,0,223,0%,3.03
ceiling lighting,0,223,0%,5.47
travel cosmetic bag,0,222,0%,8.12
integrated wine cooler,0,222,0%,9.69
leather bags mens,0,220,0%,2.27
grey made to measure curtains,0,220,0%,3.31
stylish makeup bag,0,220,0%,4.65
decoration accessories,0,220,0%,5.87
make up travel bag,0,220,0%,8.86
large wash bags womens,0,219,0%,4.51
make up bag clear,0,219,0%,9.9
laptop bags mens,0,218,0%,1.72
leather make up bags,0,218,0%,3.37
mens travel bag,0,218,0%,3.73
pretty mugs uk,0,218,0%,4.67
new iphones for sale,0,218,0%,12.41
laptop bags men's,0,217,0%,1.99
small ceiling lights,0,217,0%,2.71
leather business bags,0,217,0%,5.91
white wine fridge,0,217,0%,8.58
ladies toilet bags,0,217,0%,8.94
cussions,0,216,0%,4.12
large sewing boxes,0,216,0%,5.25
dunelm knitting bags,0,216,0%,9.88
teal and yellow cushions,0,216,0%,11.04
mens overnight bag,0,214,0%,6.7
mini make up bag,0,214,0%,6.99
john lewis cutains,0,213,0%,3.07
low outdoor table,0,213,0%,6.57
make up brush bag,0,213,0%,10.51
boxed mugs,0,212,0%,5.6
pink wash bag,0,212,0%,7.3
makeup bags large,0,211,0%,7.5
how much are curtains,0,210,0%,3.82
small messenger bags for men,0,210,0%,5.9
handmade curtains uk,0,210,0%,5.93
beautiful mugs uk,0,208,0%,4.68
small mugs for coffee,0,208,0%,8.42
quality curtains,0,207,0%,5.96
ipod nano john lewis,0,207,0%,6.1
clearance kitchen appliances,0,207,0%,6.38
mens brown leather briefcase,0,206,0%,1.9
pair of mugs,0,205,0%,6.54
men messenger bags,0,204,0%,2.14
john lewis ladies sale,0,204,0%,2.29
ladies makeup bag,0,204,0%,3.89
small makeup bags,0,204,0%,4.03
250cm drop curtains,0,204,0%,10.23
buy mugs online,0,203,0%,5.45
metal shoe racks,0,203,0%,9.96
expensive curtains,0,203,0%,10.57
kitchen decoration accessories,0,203,0%,10.9
men side bag,0,203,0%,11.03
john lewis small electrical appliances,0,202,0%,3.17
makeup bag black,0,202,0%,3.45
large alarm clock,0,202,0%,10.17
wash bag women,0,201,0%,4
curtains for lounge,0,201,0%,9.23
shelf decor accessories,0,201,0%,9.6
patterned velvet cushions,0,201,0%,10.04
large messenger bags for men,0,199,0%,6.72
john lewiscurtains,0,198,0%,3.12
john lewis digital alarm clock,0,198,0%,3.18
fenwicks mirrors,0,198,0%,4.06
black messenger bags for men,0,198,0%,6.99
circular outdoor table,0,198,0%,8.04
made to measure curtains near me,0,198,0%,9.38
wash bags ladies,0,197,0%,3.19
mirrors,0,197,0%,5.84
outdoor low table,0,197,0%,6.68
set of 6 mugs,0,196,0%,4.86
oven glove set,0,196,0%,5.05
white stuff maternity,0,196,0%,5.51
small messenger bags,0,195,0%,7.21
john lewis mp3 player,0,194,0%,1
girls sewing box,0,194,0%,5.43
toiletry bag women,0,194,0%,6.96
hanging wash bag,0,194,0%,8.99
pot holders,0,194,0%,10.23
outdoor dining tables,0,194,0%,10.74
briefcase leather men,0,193,0%,3.82
cushions teal,0,193,0%,10
john lewis duck egg curtains,0,192,0%,3.39
black briefcase bag,0,192,0%,4.07
black leather briefcase for men,0,192,0%,4.28
john lewis linen curtains,0,192,0%,9.2
leather wash bag womens,0,191,0%,1.97
messenger bag for men leather,0,191,0%,2.14
leather breifcase,0,191,0%,2.43
makeup bag for handbag,0,191,0%,3.14
john lewis measure curtains,0,191,0%,3.85
see through make-up bag,0,191,0%,7.54
black make up pouch,0,191,0%,8.05
ready made bedroom curtains,0,191,0%,8.05
patterned mugs,0,191,0%,9.96
briefcase men,0,190,0%,1.27
leather mens briefcase,0,190,0%,2.04
large wash bag ladies,0,190,0%,2.64
decorative mugs,0,190,0%,4.39
briefcase luggage,0,190,0%,8.99
cushins,0,189,0%,5.46
cylinder vacuum cleaners,0,189,0%,6.56
gift mugs,0,189,0%,8.69
make uo bags,0,188,0%,2.91
make up pouch uk,0,188,0%,4.61
turquoise oven gloves,0,188,0%,6.11
ceiling lights for hallway,0,188,0%,9.04
makeup bag designer,0,187,0%,9.85
briefcase bags,0,186,0%,2.38
women's makeup bag,0,186,0%,3.46
men shoulder bags,0,186,0%,5.25
large cosmetic case,0,186,0%,8.16
john lewis menswear sale,0,185,0%,1
cotton oven mitts,0,185,0%,6.99
womens washbag,0,185,0%,8.22
black leather messenger bag for men,0,184,0%,2.64
boys cotton shirts,0,184,0%,5.49
large knitting storage box,0,184,0%,6.02
makeup bags designer,0,184,0%,8.96
blue made to measure curtains,0,183,0%,2.77
ladies toiletries bag,0,183,0%,4.97
leather briefcase sale,0,183,0%,5.48
heavy lined curtains,0,183,0%,9.21
mugs.,0,182,0%,2.32
men leather bags,0,182,0%,2.64
cousions,0,182,0%,4.26
red wine warmer john lewis,0,182,0%,6.6
blue oven glove,0,182,0%,6.71
large sewing box uk,0,182,0%,8.03
ladies washbag,0,182,0%,9.47
light teal cushions,0,182,0%,10.39
how much are made to measure curtains,0,181,0%,1.67
mens satchel bag,0,181,0%,3.31
knitting storage basket,0,181,0%,7.7
dkny cosmetic bag set of 3,0,181,0%,9.1
cosmetics pouch,0,180,0%,2.25
small leather messenger bag for men,0,180,0%,2.85
blue double oven gloves,0,180,0%,7.82
mens leather briefcase bags,0,179,0%,1.15
ms cushions,0,179,0%,5.12
large make up bag uk,0,179,0%,5.3
soft makeup bag,0,177,0%,1.16
fold out wash bag,0,177,0%,7.1
m&s made to measure curtains,0,177,0%,8.34
gloves for ovens,0,177,0%,9.23
desk clocks,0,177,0%,10.07
wine chillers,0,177,0%,11.34
john lewis curtain samples,0,176,0%,6.93
mens designer laptop bags,0,176,0%,7.53
www.johnlewis.co.uk sale,0,175,0%,1.99
makeup brush bag,0,174,0%,11.1
ipod mp3 player,0,173,0%,8.1
make.up.bags,0,172,0%,2.73
portrait mirrors,0,172,0%,4.2
double makeup bag,0,172,0%,10.15
makeup bag with brush holder,0,172,0%,11.02
cosmetic travel bag,0,172,0%,11.16
made to measure curtains uk,0,171,0%,4.16
womenswear sale,0,171,0%,4.31
laptop briefcase leather,0,171,0%,5.87
white company maternity,0,171,0%,6.3
weekend bag for men,0,171,0%,6.61
small clocks uk,0,171,0%,8.38
john lewis silent alarm clock,0,170,0%,2.81
fabric makeup bag,0,170,0%,6.14
leather man bag,0,169,0%,2.05
john lewis measuring curtains,0,169,0%,3.62
green and pink cushions,0,169,0%,7.39
outdoor table,0,169,0%,9.25
