Page,Clicks,Impressions,CTR,Position
https://www.tatielou.co.uk/products/burst-pink-napkins,0,2,0%,23
https://www.tatielou.co.uk/products/franny-spice-place-mats,0,2,0%,24
https://www.tatielou.co.uk/products/leopard-apple-velvet-fabric,0,2,0%,27
https://www.tatielou.co.uk/collections/pachamama-all?page=3,0,2,0%,30
https://www.tatielou.co.uk/checkouts,0,2,0%,32
https://www.tatielou.co.uk/products/franny-spice-table-cloth,0,2,0%,33
https://www.tatielou.co.uk/products/pachamama-apple-table-runner,0,2,0%,44
https://www.tatielou.co.uk/products/ginkgo-pink-velvet-cushion,0,2,0%,47.5
https://www.tatielou.co.uk/collections/franny/products/franny-mint-wallpaper-sample,0,2,0%,53
https://www.tatielou.co.uk/products/pachamama-berry-velvet-fabric-sample,0,2,0%,53.5
https://www.tatielou.co.uk/products/leopard-apple-velvet-fabric-sample,0,2,0%,57
https://www.tatielou.co.uk/products/copy-of-arashi-shibori-art-print,0,2,0%,62
https://www.tatielou.co.uk/collections/clothing/products/shibori-indigo-anb-white-dyed-vest,0,2,0%,67
https://www.tatielou.co.uk/products/leopard-berry-velvet-fabric,0,2,0%,70
https://www.tatielou.co.uk/collections/all-products?page=9,0,2,0%,74.5
https://www.tatielou.co.uk/products/pachamama-berry-wallpaper-sample,0,2,0%,79.5
https://www.tatielou.co.uk/products/pachamama-berry-fringed-parachute-lampshade,0,2,0%,80
https://www.tatielou.co.uk/products/indigo-itajime-row-fabric,0,2,0%,85
https://www.tatielou.co.uk/products/pachamama-cushion-berry,0,2,0%,86.5
https://www.tatielou.co.uk/products/pachamama-indigo-table-cloth,0,1,0%,1
https://www.tatielou.co.uk/collections/all-products/products/nui-burst,0,1,0%,2
https://www.tatielou.co.uk/products/blue-and-tangerine-nui-burst-art-print,0,1,0%,2
https://www.tatielou.co.uk/products/itajime-rows-rust-and-rasberry,0,1,0%,2
https://www.tatielou.co.uk/collections/lampshades/products/drum-lampshade-1,0,1,0%,3
https://www.tatielou.co.uk/products/blue-and-tangerine-nui-burst-wallpaper-sample,0,1,0%,3
https://www.tatielou.co.uk/products/franny-spice-wallpaper-sample,0,1,0%,3
https://www.tatielou.co.uk/products/passion-peach-art-print,0,1,0%,3
https://www.tatielou.co.uk/collections/our-best-sellers,0,1,0%,4
https://www.tatielou.co.uk/products/copy-of-indigo-itajime-row-art-print,0,1,0%,4
https://www.tatielou.co.uk/products/itajime-diamond-tangerine,0,1,0%,4
https://www.tatielou.co.uk/products/leopard-berry-wallpaper,0,1,0%,4
https://www.tatielou.co.uk/products/velvet-washbag,0,1,0%,4
https://www.tatielou.co.uk/products/indigo-nui-wallpaper,0,1,0%,5
https://www.tatielou.co.uk/products/pachamama-indigo-velvet-fabric,0,1,0%,5
https://www.tatielou.co.uk/collections/all-products/products/pachamama-berry-wallpaper-sample,0,1,0%,6
https://www.tatielou.co.uk/products/copy-of-palm-yellow-greetings-card-1,0,1,0%,6
https://www.tatielou.co.uk/products/ginkgo-green-tea-towel,0,1,0%,6
https://www.tatielou.co.uk/products/indigo-itajime-row-wallpaper,0,1,0%,6
https://www.tatielou.co.uk/products/indigo-nui-floral-cushion,0,1,0%,6
https://www.tatielou.co.uk/products/pachamama-forest-table-cloth,0,1,0%,6
https://www.tatielou.co.uk/products/copy-of-fern-art-print,0,1,0%,7
https://www.tatielou.co.uk/products/ginkgo-blue-blanket,0,1,0%,7
https://www.tatielou.co.uk/products/indigo-nui-floral-wallpaper-sample,0,1,0%,7
https://www.tatielou.co.uk/products/itajime-cross-2,0,1,0%,7
https://www.tatielou.co.uk/products/itajime-diamond-table-runner,0,1,0%,7
https://www.tatielou.co.uk/products/itajime-grid,0,1,0%,7
https://www.tatielou.co.uk/collections/art-prints?page=2,0,1,0%,8
https://www.tatielou.co.uk/collections/wallpaper?page=3,0,1,0%,8
https://www.tatielou.co.uk/products/pink-buds-art-print-1,0,1,0%,8
https://www.tatielou.co.uk/products/velvet-washbag-1,0,1,0%,8
https://www.tatielou.co.uk/products/velvet-washbag-3,0,1,0%,9
https://www.tatielou.co.uk/products/multi-pink-leaf-art-print,0,1,0%,10
https://www.tatielou.co.uk/collections/all-products?page=3,0,1,0%,11
https://www.tatielou.co.uk/products/indigo-itajime-cross-cushion,0,1,0%,11
https://www.tatielou.co.uk/products/itajime-burst-candy,0,1,0%,11
https://www.tatielou.co.uk/products/shibori-cerise-and-indigo-kids-short-sleeve-t-shirt,0,1,0%,11
https://www.tatielou.co.uk/products/pachamama-forest-place-mat,0,1,0%,14
https://www.tatielou.co.uk/products/bouquet-art-print,0,1,0%,34
https://www.tatielou.co.uk/products/robin-pink-greetings-card,0,1,0%,35
https://www.tatielou.co.uk/products/franny-mint-wallpaper,0,1,0%,41
https://www.tatielou.co.uk/products/deco-pink-tea-towel,0,1,0%,54
https://www.tatielou.co.uk/products/margaux-dusk-fabric-sample,0,1,0%,63
https://www.tatielou.co.uk/products/burst-pink-table-cloth,0,1,0%,65
https://www.tatielou.co.uk/products/burst-blue-table-cloth,0,1,0%,67
https://www.tatielou.co.uk/products/passion-rose-art-print,0,1,0%,84
https://www.tatielou.co.uk/products/ginkgo-blue-table-cloth,0,1,0%,87
https://www.tatielou.co.uk/products/ginkgo-black-napkins,0,1,0%,93
https://www.tatielou.co.uk/products/ginkgo-blue-table-runner,0,1,0%,98
https://www.tatielou.co.uk/products/ginko-black-table-cloth,0,1,0%,100
