cluster_label,ctr,Impressions
7,0.04592707220467137,2100.0471698113206
1,0.02989935135710315,920.0558659217877
10,0.012429619919005298,481.2105263157895
17,0.006201859533630312,2380.491525423729
18,0.004464285714285714,1076.75
13,0.0033577533577533575,997.2142857142857
0,0.003203883839129863,1190.8909090909092
3,0.0031841864013519034,810.25
19,0.0022532997793493206,953.6603773584906
9,0.0017139091055024612,2194.8
15,0.0014583459994356532,1647.2888888888888
6,0.0011639820610303653,1807.4489795918366
8,0.0010493359918078782,2219.268656716418
2,0.00024371409216500668,709.6595744680851
14,0.00015063786382860645,2335.8571428571427
12,5.3754770735902814e-05,797.2222222222222
5,3.6314218312554664e-05,911.1785714285714
16,9.529222052952731e-06,1213.7454545454545
4,6.395035213724187e-06,1680.472972972973
11,0.0,594.4736842105264
