Address,Blog article text 1
https://pitch.com/whats-new/introducing-creator-profiles,"Today, we’re one step closer to introducing a full ecosystem for publishing and exchanging presentations. Learn more about our new creator profiles and find out how to get involved in our publishing beta. Here’s what else is new: Explore 33 new templates, courtesy of our 25 new creators. Resize multiple blocks at once. Keep speaker notes when duplicating slides and presentations."
https://pitch.com/whats-new,
https://pitch.com/whats-new/presentation-views-offline-mode-for-ios,"Today we’re bringing presentation views to Pro workspaces, giving members a way to see who’s viewed their work. This is our first official step toward bringing granular presentation analytics to Pitch. Looking for more? We’re also shipping: Offline capabilities to Pitch for iOS A more unified and responsive interface A faster way to leave guest workspaces"
